timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.332,36.49,22.16,1016.99,213905,561.62,3677,23,23,6,-0.471,-0.118,9.767,20.850,-9.150,-14.520
1.797,36.48,22.12,1016.98,43395,561.62,3677,19,19,5,-0.667,-0.196,9.728,21.000,-8.100,-16.214
3.268,36.50,22.08,1016.99,54367,561.62,3677,19,19,5,-0.510,-0.118,9.807,21.000,-9.000,-15.730
4.737,36.52,22.00,1017.00,61216,561.62,3677,19,19,5,-0.510,-0.118,9.728,21.150,-9.150,-15.004
6.216,36.52,21.94,1017.00,66761,561.62,3677,19,19,5,-0.471,-0.118,9.807,21.150,-8.850,-15.246
7.692,36.54,21.90,1017.00,70938,561.62,3677,19,19,5,-0.510,-0.078,9.807,20.850,-8.700,-15.730
9.174,36.55,21.88,1017.01,74651,561.62,3677,19,19,5,-0.510,-0.157,9.767,20.700,-8.700,-15.488
10.653,36.56,21.84,1017.01,77531,561.62,3677,19,19,5,-0.510,-0.196,9.767,21.000,-8.850,-15.246
12.133,36.56,21.84,1017.00,80202,561.62,3677,19,19,5,-0.510,-0.157,9.728,20.550,-8.700,-15.488
13.609,36.57,21.81,1017.00,82445,561.62,3677,19,19,5,-0.549,-0.118,9.807,20.700,-8.550,-14.762
15.085,36.57,21.81,1017.00,84172,561.62,3677,19,19,5,-0.431,-0.235,9.846,21.000,-8.700,-15.246
16.562,36.57,21.79,1017.01,86307,561.62,3677,19,19,5,-0.431,-0.235,9.689,21.000,-8.700,-15.246
18.026,36.56,21.78,1017.01,88026,561.62,3677,19,19,5,-0.353,-0.196,9.767,20.400,-8.250,-15.730
19.494,36.56,21.77,1017.00,89179,561.62,3677,23,23,6,-0.431,-0.196,9.885,21.000,-8.700,-15.488
20.967,36.56,21.80,1016.99,90735,561.62,3677,19,19,5,-0.471,-0.157,9.807,20.550,-8.250,-15.004
22.438,36.55,21.81,1016.99,92153,561.62,3677,19,19,5,-0.510,-0.196,9.846,20.850,-8.400,-15.972
23.917,36.53,21.80,1016.99,95350,561.62,3677,19,19,5,-0.510,-0.157,9.807,20.850,-8.550,-15.972
25.396,36.53,21.83,1016.98,96865,561.62,3677,19,19,5,-0.510,-0.196,9.767,20.700,-8.700,-15.730
26.880,36.52,21.84,1016.99,97613,561.62,3677,19,19,5,-0.471,-0.235,9.807,20.550,-8.700,-15.730
28.350,36.51,21.84,1016.98,99424,561.62,3677,19,19,5,-0.588,-0.118,9.846,20.550,-8.550,-15.246
29.828,36.51,21.84,1016.98,99929,561.62,3677,19,19,5,-0.549,-0.157,9.885,20.850,-8.700,-15.488
31.307,36.51,21.82,1016.98,100841,561.62,3677,19,19,5,-0.510,-0.196,9.807,20.400,-8.250,-14.762
